,index,Num,Fecha,Longitud,Latitud,Polaridad,Magnitud,Corriente
27398,27398,27398,2018-04-25 00:47:01.467,-74.1986,6.4978,1,5.5,5.5
27399,27399,27399,2018-04-25 00:47:02.350,-74.0391,6.4532,-1,72.0,-72.0
27400,27400,27400,2018-04-25 00:47:02.363,-74.0401,6.4539,-1,43.5,-43.5
27401,27401,27401,2018-04-25 00:47:02.377,-74.0817,6.3503,1,4.6,4.6
27402,27402,27402,2018-04-25 00:47:02.440,-74.0348,6.4632,-1,9.2,-9.2
27403,27403,27403,2018-04-25 00:47:02.460,-74.0404,6.4631,-1,5.4,-5.4
27404,27404,27404,2018-04-25 00:47:02.460,-74.0383,6.4628,-1,11.5,-11.5
27405,27405,27405,2018-04-25 00:47:02.487,-74.0322,6.4643,-1,12.4,-12.4
27406,27406,27406,2018-04-25 00:47:02.517,-74.0377,6.4624,-1,12.6,-12.6
27407,27407,27407,2018-04-25 00:47:02.603,-73.9919,6.4028,-1,5.8,-5.8
27408,27408,27408,2018-04-25 00:47:02.630,-74.0384,6.4628,-1,10.1,-10.1
27409,27409,27409,2018-04-25 00:47:02.630,-74.0087,6.539,1,5.2,5.2
27410,27410,27410,2018-04-25 00:47:02.700,-74.1422,6.4549,-1,42.9,-42.9
27411,27411,27411,2018-04-25 00:47:02.737,-74.0335,6.4634,-1,16.0,-16.0
27412,27412,27412,2018-04-25 00:47:02.790,-74.1451,6.456,-1,4.8,-4.8
27413,27413,27413,2018-04-25 00:47:02.863,-74.0059,6.3839,-1,5.9,-5.9
27414,27414,27414,2018-04-25 00:47:02.897,-74.0377,6.4624,-1,17.1,-17.1
27415,27415,27415,2018-04-25 00:47:02.897,-73.9235,6.5304,1,15.6,15.6
27416,27416,27416,2018-04-25 00:47:02.930,-73.7202,6.5016,-1,6.9,-6.9
27417,27417,27417,2018-04-25 00:47:03.020,-73.9538,6.3708,-1,4.8,-4.8
27418,27418,27418,2018-04-25 00:47:03.047,-74.0396,6.4615,-1,6.3,-6.3
27419,27419,27419,2018-04-25 00:47:03.270,-74.0076,6.3816,-1,4.3,-4.3
27420,27420,27420,2018-04-25 00:47:05.937,-73.9532,6.3949,1,31.4,31.4
27421,27421,27421,2018-04-25 00:47:05.970,-73.9603,6.3948,-1,20.3,-20.3
27422,27422,27422,2018-04-25 00:47:06.443,-73.9353,6.4319,-1,12.7,-12.7
27423,27423,27423,2018-04-25 00:47:06.453,-73.9396,6.388,1,10.7,10.7
27424,27424,27424,2018-04-25 00:47:06.617,-73.8409,6.4103,1,5.1,5.1
27425,27425,27425,2018-04-25 00:47:07.397,-73.6919,6.5375,-1,7.6,-7.6
27426,27426,27426,2018-04-25 00:47:17.087,-73.7546,6.4958,-1,37.1,-37.1
27427,27427,27427,2018-04-25 00:47:17.120,-73.7558,6.4956,-1,10.3,-10.3
27428,27428,27428,2018-04-25 00:47:17.373,-73.7108,6.4852,-1,28.7,-28.7
27429,27429,27429,2018-04-25 00:47:17.373,-73.7896,6.4821,-1,11.7,-11.7
27430,27430,27430,2018-04-25 00:47:17.497,-73.7124,6.4852,-1,9.7,-9.7
27431,27431,27431,2018-04-25 00:47:17.620,-73.7117,6.4851,-1,6.3,-6.3
27432,27432,27432,2018-04-25 00:47:17.793,-73.9903,6.3624,-1,5.7,-5.7
27433,27433,27433,2018-04-25 00:47:17.870,-73.7125,6.4834,-1,15.0,-15.0
27434,27434,27434,2018-04-25 00:47:17.980,-73.9405,6.4168,1,10.6,10.6
27435,27435,27435,2018-04-25 00:47:18.003,-73.9945,6.3708,1,6.4,6.4
27436,27436,27436,2018-04-25 00:47:20.300,-73.7329,6.3797,-1,6.0,-6.0
27437,27437,27437,2018-04-25 00:47:20.597,-73.6803,6.4597,-1,5.1,-5.1
27438,27438,27438,2018-04-25 00:47:26.340,-74.3276,6.5612,1,13.4,13.4
27439,27439,27439,2018-04-25 00:47:26.450,-73.9361,6.3804,-1,6.9,-6.9
27440,27440,27440,2018-04-25 00:47:26.787,-73.9394,6.3993,1,8.5,8.5
27441,27441,27441,2018-04-25 00:47:26.930,-73.713,6.5,-1,8.1,-8.1
27442,27442,27442,2018-04-25 00:47:26.940,-73.714,6.5007,-1,6.5,-6.5
27443,27443,27443,2018-04-25 00:47:34.280,-73.7668,6.4912,-1,31.5,-31.5
27444,27444,27444,2018-04-25 00:47:34.307,-73.767,6.4923,-1,7.1,-7.1
27445,27445,27445,2018-04-25 00:47:35.027,-73.7362,6.4866,-1,29.1,-29.1
27446,27446,27446,2018-04-25 00:47:35.093,-73.7239,6.4865,-1,6.6,-6.6
27447,27447,27447,2018-04-25 00:47:35.220,-73.7254,6.4891,-1,12.3,-12.3
27448,27448,27448,2018-04-25 00:47:35.310,-73.7222,6.4876,-1,6.5,-6.5
27449,27449,27449,2018-04-25 00:47:35.613,-73.7241,6.4879,-1,7.4,-7.4
27450,27450,27450,2018-04-25 00:47:37.193,-73.7206,6.5097,-1,13.5,-13.5
27451,27451,27451,2018-04-25 00:47:37.197,-73.721,6.5093,1,6.1,6.1
27452,27452,27452,2018-04-25 00:47:37.580,-73.7425,6.5153,-1,5.6,-5.6
27453,27453,27453,2018-04-25 00:47:37.723,-73.9403,6.3988,-1,6.1,-6.1
27454,27454,27454,2018-04-25 00:47:38.243,-73.7593,6.5069,-1,15.6,-15.6
27455,27455,27455,2018-04-25 00:47:40.627,-73.7202,6.4645,-1,4.3,-4.3
27456,27456,27456,2018-04-25 00:47:43.360,-73.7037,6.5359,-1,23.9,-23.9
27457,27457,27457,2018-04-25 00:47:43.410,-73.7032,6.5357,-1,15.4,-15.4
27458,27458,27458,2018-04-25 00:47:43.427,-73.6986,6.5251,-1,5.5,-5.5
27459,27459,27459,2018-04-25 00:47:43.470,-73.7177,6.5136,-1,5.0,-5.0
27460,27460,27460,2018-04-25 00:47:43.553,-73.6643,6.5364,-1,9.5,-9.5
27461,27461,27461,2018-04-25 00:47:43.663,-73.7026,6.5357,-1,53.1,-53.1
27462,27462,27462,2018-04-25 00:47:43.693,-73.7062,6.534,-1,5.8,-5.8
27463,27463,27463,2018-04-25 00:47:45.003,-73.7431,6.4942,-1,5.4,-5.4
27464,27464,27464,2018-04-25 00:47:45.277,-74.0108,6.419,1,6.1,6.1
27465,27465,27465,2018-04-25 00:47:45.390,-74.0035,6.4264,1,12.7,12.7
27466,27466,27466,2018-04-25 00:47:45.690,-74.0625,6.3727,1,11.0,11.0
27467,27467,27467,2018-04-25 00:47:47.157,-73.7341,6.5021,-1,7.7,-7.7
27468,27468,27468,2018-04-25 00:47:48.770,-74.2424,7.043,1,7.3,7.3
27469,27469,27469,2018-04-25 00:47:48.777,-74.2391,7.0373,-1,7.0,-7.0
27470,27470,27470,2018-04-25 00:47:48.800,-74.2304,7.04,1,8.1,8.1
27471,27471,27471,2018-04-25 00:47:49.437,-73.6693,6.5445,-1,7.5,-7.5
27472,27472,27472,2018-04-25 00:47:51.093,-73.7421,6.5569,-1,5.1,-5.1
27473,27473,27473,2018-04-25 00:47:51.297,-73.7449,6.5561,-1,5.8,-5.8
27474,27474,27474,2018-04-25 00:47:53.363,-74.1633,6.3557,1,6.2,6.2
27475,27475,27475,2018-04-25 00:47:53.837,-73.7411,6.5229,-1,11.9,-11.9
27476,27476,27476,2018-04-25 00:47:53.897,-73.7534,6.5272,-1,5.1,-5.1
27477,27477,27477,2018-04-25 00:47:54.083,-73.7833,6.4632,1,4.8,4.8
27478,27478,27478,2018-04-25 00:47:54.170,-73.7984,6.4698,1,6.9,6.9
27479,27479,27479,2018-04-25 00:47:54.343,-73.8245,6.5029,-1,4.6,-4.6
27480,27480,27480,2018-04-25 00:47:57.333,-73.7162,6.5008,-1,7.5,-7.5
27481,27481,27481,2018-04-25 00:48:00.393,-73.6955,6.4952,-1,30.8,-30.8
27482,27482,27482,2018-04-25 00:48:00.433,-73.6972,6.4938,-1,10.5,-10.5
27483,27483,27483,2018-04-25 00:48:00.477,-73.6961,6.4936,-1,33.0,-33.0
27484,27484,27484,2018-04-25 00:48:00.500,-73.6992,6.4925,-1,7.0,-7.0
27485,27485,27485,2018-04-25 00:48:00.690,-73.6976,6.4938,-1,34.6,-34.6
27486,27486,27486,2018-04-25 00:48:00.770,-73.696,6.4944,-1,14.6,-14.6
27487,27487,27487,2018-04-25 00:48:00.790,-73.6984,6.4929,-1,14.3,-14.3
27488,27488,27488,2018-04-25 00:48:00.810,-73.7015,6.4937,-1,5.4,-5.4
27489,27489,27489,2018-04-25 00:48:02.707,-73.7234,6.4919,-1,23.4,-23.4
27490,27490,27490,2018-04-25 00:48:02.760,-73.7234,6.4913,-1,10.6,-10.6
27491,27491,27491,2018-04-25 00:48:02.787,-73.7226,6.4923,-1,6.5,-6.5
27492,27492,27492,2018-04-25 00:48:03.100,-73.7239,6.492,-1,16.4,-16.4
27493,27493,27493,2018-04-25 00:48:03.170,-73.7234,6.4908,-1,9.6,-9.6
27494,27494,27494,2018-04-25 00:48:04.670,-73.6378,6.6071,1,6.0,6.0
27495,27495,27495,2018-04-25 00:48:04.697,-73.6488,6.6111,-1,29.3,-29.3
27496,27496,27496,2018-04-25 00:48:04.737,-73.6499,6.6105,-1,28.4,-28.4
27497,27497,27497,2018-04-25 00:48:04.893,-73.7256,6.5603,-1,6.3,-6.3
27498,27498,27498,2018-04-25 00:48:06.807,-73.9011,6.3982,-1,13.4,-13.4
27499,27499,27499,2018-04-25 00:48:06.810,-73.8996,6.394,1,7.5,7.5
27500,27500,27500,2018-04-25 00:48:07.243,-73.9297,6.4308,-1,6.4,-6.4
27501,27501,27501,2018-04-25 00:48:13.727,-73.7143,6.5285,-1,13.2,-13.2
27502,27502,27502,2018-04-25 00:48:18.093,-73.7358,6.598,-1,10.6,-10.6
27503,27503,27503,2018-04-25 00:48:18.153,-73.7365,6.598,-1,9.6,-9.6
27504,27504,27504,2018-04-25 00:48:19.383,-73.7471,6.5377,-1,4.8,-4.8
27505,27505,27505,2018-04-25 00:48:19.750,-73.7157,6.5083,1,5.5,5.5
27506,27506,27506,2018-04-25 00:48:19.967,-73.6792,6.5235,1,8.0,8.0
27507,27507,27507,2018-04-25 00:48:23.590,-73.7288,6.4802,-1,11.9,-11.9
27508,27508,27508,2018-04-25 00:48:27.890,-73.7164,6.5091,-1,11.6,-11.6
27509,27509,27509,2018-04-25 00:48:28.107,-73.7103,6.5095,-1,5.8,-5.8
27510,27510,27510,2018-04-25 00:48:30.483,-74.168,6.366,1,3.8,3.8
27511,27511,27511,2018-04-25 00:48:31.060,-73.7503,6.5297,-1,5.7,-5.7
27512,27512,27512,2018-04-25 00:48:31.093,-74.1065,6.3638,-1,5.9,-5.9
